@RELATION medidor_um_janela_dez

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
143.198,118.294,121.407,15.565,152.537,87.164,99.616,118.294,108.955,74.712,1,0,4
118.294,121.407,15.565,152.537,87.164,99.616,118.294,108.955,74.712,90.277,1,0,4
121.407,15.565,152.537,87.164,99.616,118.294,108.955,74.712,90.277,71.599,1,0,4
15.565,152.537,87.164,99.616,118.294,108.955,74.712,90.277,71.599,118.294,1,0,4
152.537,87.164,99.616,118.294,108.955,74.712,90.277,71.599,118.294,102.729,1,0,4
87.164,99.616,118.294,108.955,74.712,90.277,71.599,118.294,102.729,68.486,1,0,4
99.616,118.294,108.955,74.712,90.277,71.599,118.294,102.729,68.486,130.746,1,0,4
118.294,108.955,74.712,90.277,71.599,118.294,102.729,68.486,130.746,77.825,1,0,4
108.955,74.712,90.277,71.599,118.294,102.729,68.486,130.746,77.825,224.136,1,0,4
74.712,90.277,71.599,118.294,102.729,68.486,130.746,77.825,224.136,143.198,1,0,4
90.277,71.599,118.294,102.729,68.486,130.746,77.825,224.136,143.198,15.565,1,0,4
71.599,118.294,102.729,68.486,130.746,77.825,224.136,143.198,15.565,146.311,1,0,4
118.294,102.729,68.486,130.746,77.825,224.136,143.198,15.565,146.311,152.537,1,0,4
102.729,68.486,130.746,77.825,224.136,143.198,15.565,146.311,152.537,161.876,1,0,4
152.537,143.198,118.294,149.424,177.441,164.989,149.424,143.198,127.633,174.328,1,0,4
143.198,118.294,149.424,177.441,164.989,149.424,143.198,127.633,174.328,161.876,1,0,4
118.294,149.424,177.441,164.989,149.424,143.198,127.633,174.328,161.876,161.876,1,0,4
149.424,177.441,164.989,149.424,143.198,127.633,174.328,161.876,161.876,130.746,1,0,4
177.441,164.989,149.424,143.198,127.633,174.328,161.876,161.876,130.746,193.006,1,0,4
164.989,149.424,143.198,127.633,174.328,161.876,161.876,130.746,193.006,127.633,1,0,4
149.424,143.198,127.633,174.328,161.876,161.876,130.746,193.006,127.633,245.927,1,0,4
143.198,127.633,174.328,161.876,161.876,130.746,193.006,127.633,245.927,152.537,1,0,4
127.633,174.328,161.876,161.876,130.746,193.006,127.633,245.927,152.537,152.537,1,0,4
174.328,161.876,161.876,130.746,193.006,127.633,245.927,152.537,152.537,115.181,1,0,4
161.876,161.876,130.746,193.006,127.633,245.927,152.537,152.537,115.181,108.955,1,0,4
161.876,130.746,193.006,127.633,245.927,152.537,152.537,115.181,108.955,6.226,1,0,4
130.746,193.006,127.633,245.927,152.537,152.537,115.181,108.955,6.226,118.294,1,0,4
193.006,127.633,245.927,152.537,152.537,115.181,108.955,6.226,118.294,71.599,1,0,4
127.633,245.927,152.537,152.537,115.181,108.955,6.226,118.294,71.599,118.294,1,0,4
245.927,152.537,152.537,115.181,108.955,6.226,118.294,71.599,118.294,56.034,1,0,4
152.537,152.537,115.181,108.955,6.226,118.294,71.599,118.294,56.034,59.147,1,0,4
152.537,115.181,108.955,6.226,118.294,71.599,118.294,56.034,59.147,314.413,1,0,4
115.181,108.955,6.226,118.294,71.599,118.294,56.034,59.147,314.413,0.000,1,0,4
108.955,6.226,118.294,71.599,118.294,56.034,59.147,314.413,0.000,0.000,1,0,4
6.226,118.294,71.599,118.294,56.034,59.147,314.413,0.000,0.000,0.000,1,0,4
118.294,71.599,118.294,56.034,59.147,314.413,0.000,0.000,0.000,0.000,1,0,4
71.599,118.294,56.034,59.147,314.413,0.000,0.000,0.000,0.000,0.000,1,0,4
118.294,56.034,59.147,314.413,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
56.034,59.147,314.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
59.147,314.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
314.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,4
