@RELATION medidor_tres_janela_quinze

@ATTRIBUTE medida_um		REAL
@ATTRIBUTE medida_dois		REAL
@ATTRIBUTE medida_tres		REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cinco		REAL
@ATTRIBUTE medida_seis		REAL
@ATTRIBUTE medida_sete		REAL
@ATTRIBUTE medida_oito		REAL
@ATTRIBUTE medida_nove		REAL
@ATTRIBUTE medida_dez		REAL
@ATTRIBUTE medida_onze		REAL
@ATTRIBUTE medida_doze		REAL
@ATTRIBUTE medida_treze		REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
171.600,134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,1,0,4
134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,1,0,4
171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,1,0,4
172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,1,0,4
134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,1,0,4
162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,1,0,4
179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,1,0,4
133.100,171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,1,0,4
171.600,218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,1,0,4
218.900,151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,1,0,4
151.800,239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,1,0,4
239.800,166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,1,0,4
166.100,180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,1,0,4
180.400,218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,1,0,4
218.900,74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,1,0,4
74.800,75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,1,0,4
75.900,84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,1,0,4
84.700,79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,1,0,4
79.200,49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,1,0,4
49.500,46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,1,0,4
46.200,47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,1,0,4
47.300,168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,1,0,4
168.300,196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,1,0,4
